date,month,year,upi_volume_mn,upi_value_cr,festival,is_festive,vol_mom_growth,vol_yoy_growth,avg_ticket_size,vol_3m_avg,psi_score
2023-10-01,Oct,2023,11408.79,1715768.34,Navaratri,1,8.08189706215321,56.1688445017535,1503.9003610374107,10850.166666666666,70.47432043507386
2023-11-01,Nov,2023,11235.29,1739740.61,Diwali,1,-1.5207572406889747,53.709102600058834,1548.4607962945329,11066.590000000002,37.699485835994565
2023-12-01,Dec,2023,12020.23,1822949.42,Christmas,1,6.986379523804009,53.52506995985691,1516.5678360563816,11554.769999999999,56.672772727128304
2024-01-01,Jan,2024,12203.02,1841083.97,,0,1.5206863762174283,51.837588918101396,1508.7117533200799,11819.513333333334,57.18004156690694
2024-02-01,Feb,2024,12102.67,1827869.35,,0,-0.8223374213924162,60.624492352775675,1510.3025613356392,12108.64,47.25753304150197
2024-03-01,Mar,2024,13440.0,1978353.23,Holi,1,11.049875771214124,54.744222997478516,1471.9890104166666,12581.896666666667,94.40142294426884
2024-04-01,Apr,2024,13303.99,1964464.52,Eid-ul-Fitr,1,-1.0119791666666655,50.1026710262364,1476.5980130772798,12948.886666666665,70.7940674387778
2024-05-01,May,2024,14035.84,2044937.05,,0,5.500981284562001,49.076545454738564,1456.9395561647896,13593.276666666667,78.39530118510397
2024-06-01,Jun,2024,13885.14,2007081.2,,0,-1.0736799507546468,48.74183990247518,1445.4886302910882,13741.656666666668,69.18080770505914
2024-07-01,Jul,2024,14435.55,2064292.41,,0,3.9640219688098277,44.868188519169315,1430.0060683520892,14118.843333333332,74.18930625240158
2024-08-01,Aug,2024,14963.05,2060735.57,Raksha Bandhan,1,3.6541732043462227,41.347267433841985,1377.2162560440552,14427.913333333332,93.69042793846204
2024-09-01,Sep,2024,15041.75,2063994.71,,0,0.5259622871005565,42.498974486746,1372.1772466634534,14813.449999999999,73.23682394952152
2024-10-01,Oct,2024,16584.97,2349821.46,Diwali,1,10.259577509265894,45.37010498045806,1416.8379321759398,15529.923333333334,66.6168013320695
2024-11-01,Nov,2024,15482.02,2155187.4,,0,-6.650298432858193,37.79813427156753,1392.058271465868,15702.913333333336,46.80305936388678
2024-12-01,Dec,2024,16730.01,2324699.91,Christmas,1,8.060899029971536,39.1821121559238,1389.5388645912346,16265.666666666666,59.781961724449125
2025-01-01,Jan,2025,16996.0,2348037.12,,0,1.5898974358054874,39.27699864459782,1381.523370204754,16402.676666666666,65.20699545243022
2025-02-01,Feb,2025,16106.19,2196481.69,,0,-5.235408331372082,33.07964275651572,1363.7500178502798,16610.733333333334,50.83226721644767
2025-03-01,Mar,2025,18301.51,2477221.61,Holi,1,13.630287485743043,36.1719494047619,1353.5613236284876,17134.566666666666,92.92267438201004
2025-04-01,Apr,2025,17893.42,2394925.87,,0,-2.2298160097172337,34.49664348815655,1338.439420747962,17433.706666666665,78.6114642590528
2025-05-01,May,2025,18677.46,2514297.01,,0,4.381722443222147,33.069769960330106,1346.1664541109978,18290.796666666665,66.06895395831732
2025-06-01,Jun,2025,18395.01,2403930.69,,0,-1.512250595102338,32.47983095597162,1306.8384795659258,18321.963333333333,74.15966814140842
2025-07-01,Jul,2025,19467.95,2508498.09,,0,5.832777476065543,34.86115873659128,1288.527086827324,18846.806666666667,82.23719624324984
2025-08-01,Aug,2025,20008.31,2485472.91,Raksha Bandhan,1,2.7756389347620036,33.718125649516665,1242.2203124601729,19290.423333333336,92.03102980225675
2025-09-01,Sep,2025,19633.43,2489736.54,Navaratri,1,-1.873621510262491,30.526235311715723,1268.1108395221822,19703.23,55.1930886366417
2025-10-01,Oct,2025,20700.92,2727790.68,Diwali,1,5.437103959929557,24.817349684684366,1317.714710264085,20114.22,47.87970779683017
2025-11-01,Nov,2025,20466.98,2631632.63,,0,-1.1300947011050666,32.1983823816272,1285.7943038005608,20267.11,48.490009494036585
2025-12-01,Dec,2025,21634.67,2796712.73,Christmas,1,5.705238388858547,29.316539559749224,1292.6995096296823,20934.19,55.6137430197681
2026-01-01,Jan,2026,21703.44,2833481.22,,0,0.3178694197785381,27.697340550717797,1305.5447523526227,21268.36333333333,41.9310447418897
2026-02-01,Feb,2026,20394.18,2684229.29,,0,-6.032499917063827,26.623242368306844,1316.1741683166472,21244.096666666665,4.338074806940294
